Date,return,
4/11/1930,-0.003091193,
4/14/1930,-0.004266053,
4/15/1930,0.000388576,
4/16/1930,-0.007017612,
4/17/1930,0.007406037,
4/21/1930,-0.018025527,
4/22/1930,0.008269352,
4/23/1930,0.001958825,
4/24/1930,-0.007858547,
4/25/1930,-0.001184133,
4/28/1930,-0.022365149,
4/29/1930,-0.001212366,
4/30/1930,0.006850722,
5/1/1930,-0.024391494,
5/2/1930,-0.030501592,
5/5/1930,-0.025350445,
5/6/1930,0.033379222,
5/7/1930,-0.019121084,
5/8/1930,0.003853612,
5/9/1930,0.012317038,
5/12/1930,0.016743756,
5/13/1930,0.013605652,
5/14/1930,0.006123718,
5/15/1930,-0.016413992,
5/16/1930,0.004540813,
5/19/1930,-0.022070477,
5/20/1930,0.004620928,
5/21/1930,-0.005042069,
5/22/1930,0.002103977,
5/23/1930,0.010037725,
5/26/1930,0.008288443,
5/27/1930,0.000412626,
5/28/1930,0.005758922,
5/29/1930,0.004501788,
6/2/1930,-0.003681739,
6/3/1930,-0.009057287,
6/4/1930,0.004538939,
6/5/1930,-0.015768003,
6/6/1930,-0.016445658,
6/9/1930,-0.049683465,
6/10/1930,0.027761246,
6/11/1930,-0.03583657,
6/12/1930,-0.003158225,
6/13/1930,0.005857237,
6/16/1930,-0.079443954,
6/17/1930,0.000972338,
6/18/1930,-0.035612021,
6/19/1930,0.045764441,
6/20/1930,-0.026317356,
6/23/1930,-0.007932615,
6/24/1930,-0.035464761,
6/25/1930,0.00770628,
6/26/1930,0.023268576,
6/27/1930,-0.009545463,
6/30/1930,0.032284901,
7/1/1930,-0.010810867,
7/2/1930,0.010810867,
7/3/1930,-0.010316918,
7/7/1930,-0.020958851,
7/8/1930,0.007035155,
7/9/1930,0.014417401,
7/10/1930,0.024861139,
7/11/1930,-0.010648746,
7/14/1930,0.038659169,
7/15/1930,-0.001874462,
7/16/1930,0.00747667,
7/17/1930,0.00464469,
7/18/1930,0.008765915,
7/21/1930,-0.038871622,
7/22/1930,0.017984346,
7/23/1930,0.015821642,
7/24/1930,-0.013011383,
7/25/1930,0.005597076,
7/28/1930,0.014774045,
7/29/1930,-0.007821526,
7/30/1930,-0.026680731,
7/31/1930,0.006147998,
8/1/1930,-0.004725812,
8/4/1930,0.019235826,
8/5/1930,0,
8/6/1930,-0.015925395,
8/7/1930,-0.005681881,
8/8/1930,-0.038233499,
8/11/1930,0.00639294,
8/12/1930,-0.02582075,
8/13/1930,0.013490137,
8/14/1930,0.000496155,
8/15/1930,0.026433305,
8/18/1930,-0.007759495,
8/19/1930,0.00968995,
8/20/1930,0.005289745,
8/21/1930,-0.010123056,
8/22/1930,0.007241258,
8/25/1930,-0.0053051,
8/26/1930,0.014402553,
8/27/1930,0.00759733,
8/28/1930,-0.000473149,
8/29/1930,0.011294332,
9/2/1930,0.000467743,
9/3/1930,-0.009870774,
9/4/1930,-0.00711072,
9/5/1930,0.01510888,
9/8/1930,0.013497948,
9/9/1930,0.005992228,
9/10/1930,0.004585107,
9/11/1930,-0.006425079,
9/12/1930,-0.010180514,
9/15/1930,-0.014523516,
9/16/1930,0.001414667,
9/17/1930,0.00329344,
9/18/1930,-0.010862067,
9/19/1930,-0.01820841,
9/22/1930,-0.024970698,
9/23/1930,0.013297462,
9/24/1930,-0.016276561,
9/25/1930,-0.019076933,
9/26/1930,-0.015322057,
9/29/1930,-0.028715156,
